video_name,cq,vmaf,output_size,bitrate
coastguard_cif_segment_000.mp4,35,89.51,0.28,0.46
coastguard_cif_segment_000.mp4,40,83.87,0.18,0.29
coastguard_cif_segment_001.mp4,10,99.98,2.55,4.28
coastguard_cif_segment_001.mp4,15,99.96,1.59,2.67
coastguard_cif_segment_001.mp4,20,99.55,1.02,1.70
coastguard_cif_segment_001.mp4,25,98.03,0.64,1.07
coastguard_cif_segment_001.mp4,30,95.32,0.41,0.68
coastguard_cif_segment_001.mp4,35,91.54,0.26,0.43
coastguard_cif_segment_001.mp4,40,86.81,0.17,0.28
container_cif_segment_000.mp4,10,97.76,1.71,2.87
container_cif_segment_000.mp4,15,97.5,1.09,1.83
container_cif_segment_000.mp4,20,97.15,0.72,1.20
container_cif_segment_000.mp4,25,96.69,0.43,0.73
container_cif_segment_000.mp4,30,95.88,0.26,0.44
container_cif_segment_000.mp4,35,94.69,0.16,0.27
container_cif_segment_000.mp4,40,92.88,0.11,0.18
container_cif_segment_001.mp4,10,97.81,1.73,2.89
container_cif_segment_001.mp4,15,97.55,1.10,1.84
container_cif_segment_001.mp4,20,97.21,0.72,1.20
container_cif_segment_001.mp4,25,96.72,0.44,0.74
container_cif_segment_001.mp4,30,95.96,0.28,0.46
container_cif_segment_001.mp4,35,94.68,0.17,0.29
container_cif_segment_001.mp4,40,92.82,0.11,0.19
crew_4cif_segment_000.mp4,10,99.69,19.01,31.90
crew_4cif_segment_000.mp4,15,98.8,11.46,19.09
crew_4cif_segment_000.mp4,20,96.9,6.63,10.25
crew_4cif_segment_000.mp4,25,94.38,3.75,5.21
crew_4cif_segment_000.mp4,30,91.64,2.25,3.36
crew_4cif_segment_000.mp4,35,87.77,1.38,1.72
crew_4cif_segment_000.mp4,40,82.48,0.88,1.03
crew_4cif_segment_001.mp4,10,99.99,18.85,32.44
crew_4cif_segment_001.mp4,15,99.95,11.39,19.09
crew_4cif_segment_001.mp4,20,98.75,6.66,11.51
crew_4cif_segment_001.mp4,25,96.19,3.76,5.81
crew_4cif_segment_001.mp4,30,92.72,2.25,3.33
crew_4cif_segment_001.mp4,35,87.72,1.40,2.48
crew_4cif_segment_001.mp4,40,80.45,0.90,0.90
crowd_run_2160p50_segment_000.mp4,10,97.97,74.74,0.00
crowd_run_2160p50_segment_000.mp4,15,97.98,74.74,0.00
crowd_run_2160p50_segment_000.mp4,20,97.98,74.69,0.00
crowd_run_2160p50_segment_000.mp4,25,88.91,24.83,0.00
crowd_run_2160p50_segment_000.mp4,30,88.93,24.83,0.00
crowd_run_2160p50_segment_000.mp4,35,89.15,24.82,0.00
crowd_run_2160p50_segment_000.mp4,40,82.89,17.05,0.00
crowd_run_2160p50_segment_001.mp4,10,99.44,74.63,0.00
