cq,vmaf,metrics_avg_motion,metrics_avg_edge_density,metrics_avg_texture,metrics_avg_temporal_information,metrics_avg_spatial_information,metrics_avg_color_complexity,metrics_scene_change_count,metrics_avg_motion_variance,metrics_avg_grain_noise,metrics_frame_rate,metrics_resolution
20,98.75,1.83,0.06,6.79,11.36,53.25,6.93,6,1.55,4.15,60,"(704, 576)"
25,96.19,1.83,0.06,6.79,11.36,53.25,6.93,6,1.55,4.15,60,"(704, 576)"
30,92.72,1.83,0.06,6.79,11.36,53.25,6.93,6,1.55,4.15,60,"(704, 576)"
35,87.72,1.83,0.06,6.79,11.36,53.25,6.93,6,1.55,4.15,60,"(704, 576)"
40,80.45,1.83,0.06,6.79,11.36,53.25,6.93,6,1.55,4.15,60,"(704, 576)"
10,97.97,3.27,0.11,7.63,23.01,83.54,7.61,0,2.88,5.44,50,"(3840, 2160)"
15,97.98,3.27,0.11,7.63,23.01,83.54,7.61,0,2.88,5.44,50,"(3840, 2160)"
20,97.98,3.27,0.11,7.63,23.01,83.54,7.61,0,2.88,5.44,50,"(3840, 2160)"
25,88.91,3.27,0.11,7.63,23.01,83.54,7.61,0,2.88,5.44,50,"(3840, 2160)"
30,88.93,3.27,0.11,7.63,23.01,83.54,7.61,0,2.88,5.44,50,"(3840, 2160)"
35,89.15,3.27,0.11,7.63,23.01,83.54,7.61,0,2.88,5.44,50,"(3840, 2160)"
40,82.89,3.27,0.11,7.63,23.01,83.54,7.61,0,2.88,5.44,50,"(3840, 2160)"
10,99.44,3.27,0.11,7.63,23.01,83.54,7.61,0,2.88,5.44,50,"(3840, 2160)"
15,99.44,3.27,0.11,7.63,23.01,83.54,7.61,0,2.88,5.44,50,"(3840, 2160)"
20,99.45,3.27,0.11,7.63,23.01,83.54,7.61,0,2.88,5.44,50,"(3840, 2160)"
25,93.14,3.27,0.11,7.63,23.01,83.54,7.61,0,2.88,5.44,50,"(3840, 2160)"
30,93.18,3.27,0.11,7.63,23.01,83.54,7.61,0,2.88,5.44,50,"(3840, 2160)"
35,93.36,3.27,0.11,7.63,23.01,83.54,7.61,0,2.88,5.44,50,"(3840, 2160)"
40,86.93,3.27,0.11,7.63,23.01,83.54,7.61,0,2.88,5.44,50,"(3840, 2160)"
10,97.65,2.35,0.02,6.03,6.89,66.71,5.9,0,3.01,5.73,60,"(1920, 1080)"
15,97.62,2.35,0.02,6.03,6.89,66.71,5.9,0,3.01,5.73,60,"(1920, 1080)"
20,97.57,2.35,0.02,6.03,6.89,66.71,5.9,0,3.01,5.73,60,"(1920, 1080)"
25,97.39,2.35,0.02,6.03,6.89,66.71,5.9,0,3.01,5.73,60,"(1920, 1080)"
